name,completion_time,human_workload,robot_workload,human_total_time,robot_total_time,doubtful_count,SSD_1_human_start,SSD_1_human_end,SSD_1_human_duration,SSD_2_human_start,SSD_2_human_end,SSD_2_human_duration,SSD_3_human_start,SSD_3_human_end,SSD_3_human_duration,SSD_4_human_start,SSD_4_human_end,SSD_4_human_duration,SSD_5_human_start,SSD_5_human_end,SSD_5_human_duration,SSD_6_human_start,SSD_6_human_end,SSD_6_human_duration,SSD_7_human_start,SSD_7_human_end,SSD_7_human_duration,SSD_8_human_start,SSD_8_human_end,SSD_8_human_duration,SSD_9_human_start,SSD_9_human_end,SSD_9_human_duration,SSD_10_human_start,SSD_10_human_end,SSD_10_human_duration,SSD_11_human_start,SSD_11_human_end,SSD_11_human_duration,SSD_12_human_start,SSD_12_human_end,SSD_12_human_duration,SSD_1_robot_start,SSD_1_robot_end,SSD_1_robot_duration,SSD_2_robot_start,SSD_2_robot_end,SSD_2_robot_duration,SSD_3_robot_start,SSD_3_robot_end,SSD_3_robot_duration,SSD_4_robot_start,SSD_4_robot_end,SSD_4_robot_duration,SSD_5_robot_start,SSD_5_robot_end,SSD_5_robot_duration,SSD_6_robot_start,SSD_6_robot_end,SSD_6_robot_duration,SSD_7_robot_start,SSD_7_robot_end,SSD_7_robot_duration,SSD_8_robot_start,SSD_8_robot_end,SSD_8_robot_duration,SSD_9_robot_start,SSD_9_robot_end,SSD_9_robot_duration,SSD_10_robot_start,SSD_10_robot_end,SSD_10_robot_duration,SSD_11_robot_start,SSD_11_robot_end,SSD_11_robot_duration,SSD_12_robot_start,SSD_12_robot_end,SSD_12_robot_duration
TR1_1_HRC.bag,26.9032461643219,5,7,18.001190662384033,101.00579929351807,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752736986.1680954,1752736989.1681743,3.0000789165496826,1752736979.168629,1752736982.1690483,3.0004193782806396,1752736976.1682115,1752736979.168629,3.000417470932007,1752736982.1690483,1752736984.1690211,1.9999728202819824,1752736989.1681743,1752736996.1684763,7.000302076339722,1752736970.1680682,1752736978.1689365,8.000868320465088,1752736970.1680682,1752736980.1689126,10.000844478607178,1752736970.1680682,1752736982.1690483,12.000980138778687,1752736970.1680682,1752736984.1690211,14.000952959060669,1752736970.1680682,1752736987.169052,17.000983715057373,1752736970.1680682,1752736989.1681743,19.0001060962677,1752736970.1680682,1752736991.1691318,21.001063585281372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR2_1_HRC.bag,24.997345685958862,5,6,11.999850273132324,74.00338006019592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737065.1690748,1752737067.1680644,1.9989895820617676,0.0,0.0,0.0,1752737060.1681356,1752737062.1691084,2.0009727478027344,1752737056.1680338,1752737059.16912,3.0010862350463867,1752737062.1691084,1752737065.1690748,2.9999663829803467,1752737069.1692538,1752737071.1680892,1.9988353252410889,1752737051.1680717,1752737058.1691415,7.001069784164429,1752737051.1680717,1752737060.1681356,9.0000638961792,1752737051.1680717,1752737062.1691084,11.001036643981934,1752737051.1680717,1752737064.1681068,13.000035047531128,1752737051.1680717,1752737067.1680644,15.999992609024048,1752737051.1680717,1752737069.1692538,18.001182079315186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR1_2_HRC.bag,26.968076944351196,5,7,18.999974727630615,86.99984574317932,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737613.219934,1752737622.2199385,9.000004529953003,1752737611.2199612,1752737613.219934,1.9999728202819824,1752737602.2199962,1752737604.2199123,1.9999160766601562,1752737604.2199123,1752737607.2199845,3.0000722408294678,1752737608.219952,1752737611.2199612,3.000009059906006,1752737597.2199516,1752737603.2198515,5.999899864196777,1752737597.2199516,1752737605.2198684,7.9999167919158936,1752737597.2199516,1752737607.2199845,10.000032901763916,1752737597.2199516,1752737609.2199318,11.999980211257935,1752737597.2199516,1752737612.2199116,14.999959945678711,1752737597.2199516,1752737614.219947,16.999995470046997,1752737597.2199516,1752737616.2200122,19.000060558319092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR2_2_HRC.bag,28.95113706588745,4,8,22.000308990478516,122.00042581558228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737740.2199457,1752737743.220055,3.0001094341278076,0.0,0.0,0.0,1752737744.2199554,1752737746.2199323,1.9999768733978271,1752737735.2199523,1752737739.21993,3.9999775886535645,1752737746.2199323,1752737759.2201774,13.000245094299316,0.0,0.0,0.0,1752737730.2199214,1752737737.2199028,6.99998140335083,1752737730.2199214,1752737739.21993,9.000008583068848,1752737730.2199214,1752737741.2195861,10.999664783477783,1752737730.2199214,1752737744.2199554,14.000034093856812,1752737730.2199214,1752737747.2200048,17.000083446502686,1752737730.2199214,1752737749.2201643,19.000242948532104,0.0,0.0,0.0,1752737730.2199214,1752737751.2202563,21.000334978103638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737730.2199214,1752737754.219997,24.000075578689575
TR1_3_HRC.bag,26.9386248588562,5,7,19.999618768692017,103.00047135353088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752738166.2749608,1752738169.2750201,3.0000593662261963,1752738173.2751503,1752738183.2749863,9.999835968017578,0.0,0.0,0.0,1752738164.2749863,1752738166.2749608,1.9999744892120361,1752738161.2749999,1752738164.2749863,2.999986410140991,1752738170.2751644,1752738172.274927,1.9997625350952148,0.0,0.0,0.0,1752738156.2749667,1752738164.2749863,8.000019550323486,1752738156.2749667,1752738166.2749608,9.999994039535522,1752738156.2749667,1752738168.2749712,12.000004529953003,1752738156.2749667,1752738170.2751644,14.000197649002075,1752738156.2749667,1752738173.2751503,17.000183582305908,0.0,0.0,0.0,0.0,0.0,0.0,1752738156.2749667,1752738176.2750118,20.00004506111145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752738156.2749667,1752738178.2749937,22.00002694129944
TR2_3_HRC.bag,28.98615527153015,4,8,10.999809980392456,117.00056624412537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752738361.1440246,1752738364.1441238,3.0000991821289062,0.0,0.0,0.0,0.0,0.0,0.0,1752738358.1441996,1752738361.1440246,2.9998250007629395,1752738366.1443381,1752738369.144435,3.0000967979431152,1752738369.144435,1752738371.144224,1.9997889995574951,1752738353.144145,1752738360.144123,6.999978065490723,1752738353.144145,1752738362.1441548,9.000009775161743,1752738353.144145,1752738364.1441238,10.99997878074646,1752738353.144145,1752738366.1443381,13.000193119049072,1752738353.144145,1752738369.144435,16.000289916992188,1752738353.144145,1752738371.144224,18.000078916549683,0.0,0.0,0.0,1752738353.144145,1752738373.1442442,20.000099182128906,1752738353.144145,1752738376.1440835,22.999938488006592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR1_1_HRC_CS_90.bag,39.96703290939331,5,9,20.99983024597168,148.0010552406311,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753181750.748128,4.999894380569458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753181756.7480679,5.999939918518066,1753181730.7480752,1753181734.748081,4.000005722045898,1753181727.7480645,1753181730.7480752,3.0000107288360596,1753181734.748081,1753181737.7480605,2.9999794960021973,0.0,0.0,0.0,1753181717.7481074,1753181724.7480724,6.999964952468872,1753181717.7481074,1753181727.7480645,9.999957084655762,1753181717.7481074,1753181729.7481334,12.000025987625122,1753181717.7481074,1753181731.7482343,14.000126838684082,1753181717.7481074,1753181734.748081,16.99997353553772,1753181717.7481074,1753181736.7482464,19.000138998031616,1753181717.7481074,1753181738.7482152,21.000107765197754,1753181717.7481074,1753181740.7481465,23.000039100646973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753181717.7481074,1753181742.7488284,25.000720977783203
TR1_2_HRC_CS_90.bag,32.9221510887146,4,8,23.001079559326172,115.99899411201477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753184392.5779347,1753184405.5787466,13.00081181526184,1753184379.578472,1753184382.5787754,3.0003035068511963,1753184383.5787883,1753184387.5786211,3.99983286857605,1753184387.5786211,1753184390.5787525,3.000131368637085,1753184374.578739,1753184381.5788789,7.000139951705933,1753184374.578739,1753184383.5787883,9.000049352645874,1753184374.578739,1753184385.5782368,10.999497890472412,1753184374.578739,1753184387.5786211,12.999882221221924,1753184374.578739,1753184390.5787525,16.00001358985901,1753184374.578739,1753184392.5779347,17.99919581413269,1753184374.578739,1753184394.5788414,20.000102519989014,1753184374.578739,1753184396.5788517,22.000112771987915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR2_1_HRC_CS_90.bag,40.96886992454529,6,9,24.000104665756226,155.00476598739624,3,0.0,0.0,0.0,0.0,1753184568.0761423,5.000094175338745,0.0,0.0,0.0,0.0,1753184573.0770912,5.000948905944824,0.0,0.0,0.0,1753184552.0771952,1753184554.0762932,1.9990980625152588,1753184544.0762253,1753184548.0771463,4.000921010971069,0.0,1753184579.0761356,5.999044418334961,0.0,0.0,0.0,0.0,0.0,0.0,1753184548.0771463,1753184550.0771444,1.9999980926513672,0.0,0.0,0.0,1753184539.0761466,1753184546.0770795,7.000932931900024,1753184539.0761466,1753184549.0771017,10.00095510482788,1753184539.0761466,1753184551.0761821,12.000035524368286,1753184539.0761466,1753184553.0770953,14.000948667526245,1753184539.0761466,1753184556.0760207,16.999874114990234,0.0,0.0,0.0,0.0,0.0,0.0,1753184539.0761466,1753184559.0772376,20.00109100341797,1753184539.0761466,1753184562.0760448,22.999898195266724,1753184539.0761466,1753184564.0762258,25.00007915496826,0.0,0.0,0.0,1753184539.0761466,1753184566.077098,27.000951290130615
TR2_2_HRC_CS_90.bag,30.952991247177124,3,9,8.000116109848022,148.00048923492432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753184822.691832,1753184825.6917677,2.9999356269836426,0.0,0.0,0.0,1753184816.691773,1753184819.6918266,3.000053644180298,1753184819.6918266,1753184821.6919534,2.000126838684082,0.0,0.0,0.0,0.0,0.0,0.0,1753184811.6917136,1753184818.6917515,7.000037908554077,1753184811.6917136,1753184820.6918907,9.000177145004272,1753184811.6917136,1753184823.6917737,12.000060081481934,1753184811.6917136,1753184824.6917717,13.0000581741333,1753184811.6917136,1753184828.6918068,17.00009322166443,1753184811.6917136,1753184830.691802,19.000088453292847,0.0,0.0,0.0,1753184811.6917136,1753184832.691824,21.000110387802124,0.0,0.0,0.0,0.0,0.0,0.0,1753184811.6917136,1753184835.6914551,23.999741554260254,1753184811.6917136,1753184837.6918359,26.00012230873108
