name,completion_time,human_workload,robot_workload,human_total_time,robot_total_time,doubtful_count,SSD_1_human_start,SSD_1_human_end,SSD_1_human_duration,SSD_2_human_start,SSD_2_human_end,SSD_2_human_duration,SSD_3_human_start,SSD_3_human_end,SSD_3_human_duration,SSD_4_human_start,SSD_4_human_end,SSD_4_human_duration,SSD_5_human_start,SSD_5_human_end,SSD_5_human_duration,SSD_6_human_start,SSD_6_human_end,SSD_6_human_duration,SSD_7_human_start,SSD_7_human_end,SSD_7_human_duration,SSD_8_human_start,SSD_8_human_end,SSD_8_human_duration,SSD_9_human_start,SSD_9_human_end,SSD_9_human_duration,SSD_10_human_start,SSD_10_human_end,SSD_10_human_duration,SSD_11_human_start,SSD_11_human_end,SSD_11_human_duration,SSD_12_human_start,SSD_12_human_end,SSD_12_human_duration,SSD_1_robot_start,SSD_1_robot_end,SSD_1_robot_duration,SSD_2_robot_start,SSD_2_robot_end,SSD_2_robot_duration,SSD_3_robot_start,SSD_3_robot_end,SSD_3_robot_duration,SSD_4_robot_start,SSD_4_robot_end,SSD_4_robot_duration,SSD_5_robot_start,SSD_5_robot_end,SSD_5_robot_duration,SSD_6_robot_start,SSD_6_robot_end,SSD_6_robot_duration,SSD_7_robot_start,SSD_7_robot_end,SSD_7_robot_duration,SSD_8_robot_start,SSD_8_robot_end,SSD_8_robot_duration,SSD_9_robot_start,SSD_9_robot_end,SSD_9_robot_duration,SSD_10_robot_start,SSD_10_robot_end,SSD_10_robot_duration,SSD_11_robot_start,SSD_11_robot_end,SSD_11_robot_duration,SSD_12_robot_start,SSD_12_robot_end,SSD_12_robot_duration
TR1_1_HRC.bag,26.9032461643219,5,7,18.001190662384033,21.001063585281372,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752736986.1680954,1752736989.1681745,3.0000789165496826,1752736979.168629,1752736982.1690483,3.00041937828064,1752736976.1682117,1752736979.168629,3.000417470932007,1752736982.1690483,1752736984.1690211,1.9999728202819824,1752736989.1681745,1752736996.1684763,7.000302076339722,1752736970.1680682,1752736978.1689365,8.000868320465088,1752736970.1680682,1752736980.1689126,1.9999761581420898,1752736970.1680682,1752736982.1690483,2.000135660171509,1752736970.1680682,1752736984.1690211,1.9999728202819824,1752736970.1680682,1752736987.169052,3.000030755996704,1752736970.1680682,1752736989.1681745,1.9991226196289062,1752736970.1680682,1752736991.1691318,2.0009572505950928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR2_1_HRC.bag,24.997345685958862,5,6,11.999850273132324,18.001182317733765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737065.1690748,1752737067.1680644,1.998989582061768,0.0,0.0,0.0,1752737060.1681356,1752737062.1691084,2.0009727478027344,1752737056.1680338,1752737059.16912,3.0010862350463867,1752737062.1691084,1752737065.1690748,2.9999663829803467,1752737069.1692538,1752737071.1680892,1.9988353252410889,1752737051.1680715,1752737058.1691415,7.001070022583008,1752737051.1680715,1752737060.1681356,1.9989941120147705,1752737051.1680715,1752737062.1691084,2.0009727478027344,1752737051.1680715,1752737064.1681068,1.9989984035491943,1752737051.1680715,1752737067.1680644,2.99995756149292,1752737051.1680715,1752737069.1692538,2.0011894702911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR1_2_HRC.bag,26.9680769443512,5,7,18.99997472763061,19.000060558319092,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737613.219934,1752737622.2199385,9.000004529953003,1752737611.2199612,1752737613.219934,1.9999728202819824,1752737602.2199962,1752737604.2199123,1.999916076660156,1752737604.2199123,1752737607.2199843,3.000072240829468,1752737608.219952,1752737611.2199612,3.000009059906006,1752737597.2199516,1752737603.2198515,5.999899864196777,1752737597.2199516,1752737605.2198684,2.000016927719116,1752737597.2199516,1752737607.2199843,2.0001158714294434,1752737597.2199516,1752737609.2199318,1.9999475479125977,1752737597.2199516,1752737612.2199116,2.9999797344207764,1752737597.2199516,1752737614.219947,2.000035524368286,1752737597.2199516,1752737616.2200122,2.0000650882720947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR2_2_HRC.bag,28.95113706588745,4,8,22.00030899047852,24.000075578689575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737740.2199457,1752737743.220055,3.000109434127808,0.0,0.0,0.0,1752737744.2199554,1752737746.2199323,1.9999768733978271,1752737735.2199523,1752737739.21993,3.999977588653565,1752737746.2199323,1752737759.2201774,13.000245094299316,0.0,0.0,0.0,1752737730.2199214,1752737737.2199028,6.99998140335083,1752737730.2199214,1752737739.21993,2.0000271797180176,1752737730.2199214,1752737741.219586,1.9996559619903564,1752737730.2199214,1752737744.2199554,3.0003695487976074,1752737730.2199214,1752737747.2200048,3.000049352645874,1752737730.2199214,1752737749.2201643,2.000159502029419,0.0,0.0,0.0,1752737730.2199214,1752737751.2202563,2.000092029571533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752737730.2199214,1752737754.219997,2.9997406005859375
TR1_3_HRC.bag,26.9386248588562,5,7,19.999618768692017,22.00002694129944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752738166.2749608,1752738169.27502,3.0000593662261963,1752738173.2751503,1752738183.2749865,9.999835968017578,0.0,0.0,0.0,1752738164.2749865,1752738166.2749608,1.999974489212036,1752738161.275,1752738164.2749865,2.999986410140991,1752738170.2751644,1752738172.274927,1.9997625350952148,0.0,0.0,0.0,1752738156.2749667,1752738164.2749865,8.000019788742065,1752738156.2749667,1752738166.2749608,1.999974250793457,1752738156.2749667,1752738168.2749712,2.0000104904174805,1752738156.2749667,1752738170.2751644,2.0001931190490723,1752738156.2749667,1752738173.2751503,2.999985933303833,0.0,0.0,0.0,0.0,0.0,0.0,1752738156.2749667,1752738176.2750118,2.999861478805542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752738156.2749667,1752738178.2749937,1.9999818801879883
TR2_3_HRC.bag,28.98615527153015,4,8,10.999809980392456,22.999938488006592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752738361.1440246,1752738364.1441238,3.0000991821289062,0.0,0.0,0.0,0.0,0.0,0.0,1752738358.1441996,1752738361.1440246,2.9998250007629395,1752738366.144338,1752738369.144435,3.0000967979431152,1752738369.144435,1752738371.144224,1.9997889995574951,1752738353.144145,1752738360.144123,6.999978065490723,1752738353.144145,1752738362.1441548,2.0000317096710205,1752738353.144145,1752738364.1441238,1.9999690055847168,1752738353.144145,1752738366.144338,2.000214099884033,1752738353.144145,1752738369.144435,3.0000970363616943,1752738353.144145,1752738371.144224,1.9997889995574951,0.0,0.0,0.0,1752738353.144145,1752738373.1442442,2.0000202655792236,1752738353.144145,1752738376.1440835,2.9998393058776855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR1_1_HRC_CS_90.bag,39.96703290939331,5,9,20.99983024597168,25.000720977783203,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753181750.748128,4.999894380569458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753181756.748068,5.999939918518066,1753181730.7480752,1753181734.748081,4.000005722045898,1753181727.7480645,1753181730.7480752,3.00001072883606,1753181734.748081,1753181737.7480605,2.9999794960021973,0.0,0.0,0.0,1753181717.7481074,1753181724.7480724,6.999964952468872,1753181717.7481074,1753181727.7480645,2.9999921321868896,1753181717.7481074,1753181729.7481334,2.0000689029693604,1753181717.7481074,1753181731.7482345,2.000101089477539,1753181717.7481074,1753181734.748081,2.9998464584350586,1753181717.7481074,1753181736.7482464,2.0001654624938965,1753181717.7481074,1753181738.7482152,1.9999687671661377,1753181717.7481074,1753181740.7481463,1.9999310970306396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753181717.7481074,1753181742.7488284,2.0006821155548096
TR1_2_HRC_CS_90.bag,32.9221510887146,4,8,23.00107955932617,22.000112771987915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753184392.5779347,1753184405.5787466,13.00081181526184,1753184379.578472,1753184382.5787754,3.0003035068511963,1753184383.5787885,1753184387.5786211,3.99983286857605,1753184387.5786211,1753184390.5787525,3.000131368637085,1753184374.578739,1753184381.5788789,7.000139951705933,1753184374.578739,1753184383.5787885,1.9999096393585205,1753184374.578739,1753184385.5782368,1.999448299407959,1753184374.578739,1753184387.5786211,2.0003843307495117,1753184374.578739,1753184390.5787525,3.000131368637085,1753184374.578739,1753184392.5779347,1.9991822242736816,1753184374.578739,1753184394.5788414,2.0009067058563232,1753184374.578739,1753184396.5788517,2.0000102519989014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR2_1_HRC_CS_90.bag,40.96886992454529,6,9,24.000104665756226,27.000951290130615,3,0.0,0.0,0.0,0.0,1753184568.0761423,5.000094175338745,0.0,0.0,0.0,0.0,1753184573.0770912,5.000948905944824,0.0,0.0,0.0,1753184552.0771952,1753184554.0762932,1.9990980625152588,1753184544.0762253,1753184548.0771463,4.000921010971069,0.0,1753184579.0761356,5.999044418334961,0.0,0.0,0.0,0.0,0.0,0.0,1753184548.0771463,1753184550.0771444,1.9999980926513672,0.0,0.0,0.0,1753184539.0761466,1753184546.0770795,7.000932931900024,1753184539.0761466,1753184549.0771017,3.0000221729278564,1753184539.0761466,1753184551.076182,1.9990801811218262,1753184539.0761466,1753184553.0770953,2.000913381576538,1753184539.0761466,1753184556.0760207,2.9989254474639893,0.0,0.0,0.0,0.0,0.0,0.0,1753184539.0761466,1753184559.0772376,3.0012168884277344,1753184539.0761466,1753184562.0760448,2.998807191848755,1753184539.0761466,1753184564.0762258,2.000180959701538,0.0,0.0,0.0,1753184539.0761466,1753184566.077098,2.0008721351623535
TR2_2_HRC_CS_90.bag,30.952991247177124,3,9,8.000116109848022,26.000122547149658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753184822.691832,1753184825.6917677,2.9999356269836426,0.0,0.0,0.0,1753184816.691773,1753184819.6918266,3.000053644180298,1753184819.6918266,1753184821.6919534,2.000126838684082,0.0,0.0,0.0,0.0,0.0,0.0,1753184811.6917136,1753184818.6917517,7.000038146972656,1753184811.6917136,1753184820.6918907,2.000138998031616,1753184811.6917136,1753184823.6917737,2.999882936477661,1753184811.6917136,1753184824.6917715,0.9999978542327881,1753184811.6917136,1753184828.6918068,4.000035285949707,1753184811.6917136,1753184830.691802,1.999995231628418,0.0,0.0,0.0,1753184811.6917136,1753184832.691824,2.0000219345092773,0.0,0.0,0.0,0.0,0.0,0.0,1753184811.6917136,1753184835.6914551,2.99963116645813,1753184811.6917136,1753184837.691836,2.0003809928894043
