name,completion_time,human_workload,robot_workload,human_total_time,robot_total_time,doubtful_count,SSD_1_human_start,SSD_1_human_end,SSD_1_human_duration,SSD_2_human_start,SSD_2_human_end,SSD_2_human_duration,SSD_3_human_start,SSD_3_human_end,SSD_3_human_duration,SSD_4_human_start,SSD_4_human_end,SSD_4_human_duration,SSD_5_human_start,SSD_5_human_end,SSD_5_human_duration,SSD_6_human_start,SSD_6_human_end,SSD_6_human_duration,SSD_7_human_start,SSD_7_human_end,SSD_7_human_duration,SSD_8_human_start,SSD_8_human_end,SSD_8_human_duration,SSD_9_human_start,SSD_9_human_end,SSD_9_human_duration,SSD_10_human_start,SSD_10_human_end,SSD_10_human_duration,SSD_11_human_start,SSD_11_human_end,SSD_11_human_duration,SSD_12_human_start,SSD_12_human_end,SSD_12_human_duration,SSD_1_robot_start,SSD_1_robot_end,SSD_1_robot_duration,SSD_2_robot_start,SSD_2_robot_end,SSD_2_robot_duration,SSD_3_robot_start,SSD_3_robot_end,SSD_3_robot_duration,SSD_4_robot_start,SSD_4_robot_end,SSD_4_robot_duration,SSD_5_robot_start,SSD_5_robot_end,SSD_5_robot_duration,SSD_6_robot_start,SSD_6_robot_end,SSD_6_robot_duration,SSD_7_robot_start,SSD_7_robot_end,SSD_7_robot_duration,SSD_8_robot_start,SSD_8_robot_end,SSD_8_robot_duration,SSD_9_robot_start,SSD_9_robot_end,SSD_9_robot_duration,SSD_10_robot_start,SSD_10_robot_end,SSD_10_robot_duration,SSD_11_robot_start,SSD_11_robot_end,SSD_11_robot_duration,SSD_12_robot_start,SSD_12_robot_end,SSD_12_robot_duration,final_state
TR1_1_HRC.bag,26.9032461643219,5,7,18.001190662384,21.0010635852814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752736986.1681,1752736989.16817,3.00007891654968,1752736979.16863,1752736982.16905,3.00041937828064,1752736976.16821,1752736979.16863,3.00041747093201,1752736982.16905,1752736984.16902,1.99997282028198,1752736989.16817,1752736996.16848,7.00030207633972,1752736970.16807,1752736978.16894,8.00086832046509,1752736970.16807,1752736980.16891,1.99997615814209,1752736970.16807,1752736982.16905,2.00013566017151,1752736970.16807,1752736984.16902,1.99997282028198,1752736970.16807,1752736987.16905,3.0000307559967,1752736970.16807,1752736989.16817,1.99912261962891,1752736970.16807,1752736991.16913,2.00095725059509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4, 2, 4, 2, 2, 4, 2, 3, 3, 3, 1, 3]"
TR2_1_HRC.bag,24.9973456859589,5,6,11.9998502731323,18.0011823177338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752737065.16907,1752737067.16806,1.99898958206177,0,0,0,1752737060.16814,1752737062.16911,2.00097274780273,1752737056.16803,1752737059.16912,3.00108623504639,1752737062.16911,1752737065.16907,2.99996638298035,1752737069.16925,1752737071.16809,1.99883532524109,1752737051.16807,1752737058.16914,7.00107002258301,1752737051.16807,1752737060.16814,1.99899411201477,1752737051.16807,1752737062.16911,2.00097274780273,1752737051.16807,1752737064.16811,1.99899840354919,1752737051.16807,1752737067.16806,2.99995756149292,1752737051.16807,1752737069.16925,2.00118947029114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[2, 4, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1]"
TR1_2_HRC.bag,26.9680769443512,5,7,18.9999747276306,19.0000605583191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752737613.21993,1752737622.21994,9.000004529953,1752737611.21996,1752737613.21993,1.99997282028198,1752737602.22,1752737604.21991,1.99991607666016,1752737604.21991,1752737607.21998,3.00007224082947,1752737608.21995,1752737611.21996,3.00000905990601,1752737597.21995,1752737603.21985,5.99989986419678,1752737597.21995,1752737605.21987,2.00001692771912,1752737597.21995,1752737607.21998,2.00011587142944,1752737597.21995,1752737609.21993,1.9999475479126,1752737597.21995,1752737612.21991,2.99997973442078,1752737597.21995,1752737614.21995,2.00003552436829,1752737597.21995,1752737616.22001,2.00006508827209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4, 2, 4, 2, 2, 4, 2, 3, 3, 3, 1, 3]"
TR2_2_HRC.bag,28.9511370658875,4,8,22.0003089904785,24.0000755786896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752737740.21995,1752737743.22006,3.00010943412781,0,0,0,1752737744.21996,1752737746.21993,1.99997687339783,1752737735.21995,1752737739.21993,3.99997758865357,1752737746.21993,1752737759.22018,13.0002450942993,0,0,0,1752737730.21992,1752737737.2199,6.99998140335083,1752737730.21992,1752737739.21993,2.00002717971802,1752737730.21992,1752737741.21959,1.99965596199036,1752737730.21992,1752737744.21996,3.00036954879761,1752737730.21992,1752737747.22,3.00004935264587,1752737730.21992,1752737749.22016,2.00015950202942,0,0,0,1752737730.21992,1752737751.22026,2.00009202957153,0,0,0,0,0,0,0,0,0,1752737730.21992,1752737754.22,2.99974060058594,"[2, 4, 2, 2, 2, 2, 1, 2, 3, 1, 3, 4]"
TR1_3_HRC.bag,26.9386248588562,5,7,19.999618768692,22.0000269412994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752738166.27496,1752738169.27502,3.0000593662262,1752738173.27515,1752738183.27499,9.99983596801758,0,0,0,1752738164.27499,1752738166.27496,1.99997448921204,1752738161.275,1752738164.27499,2.99998641014099,1752738170.27516,1752738172.27493,1.99976253509521,0,0,0,1752738156.27497,1752738164.27499,8.00001978874207,1752738156.27497,1752738166.27496,1.99997425079346,1752738156.27497,1752738168.27497,2.00001049041748,1752738156.27497,1752738170.27516,2.00019311904907,1752738156.27497,1752738173.27515,2.99998593330383,0,0,0,0,0,0,1752738156.27497,1752738176.27501,2.99986147880554,0,0,0,0,0,0,0,0,0,1752738156.27497,1752738178.27499,1.99998188018799,"[4, 2, 4, 2, 2, 1, 3, 2, 3, 3, 1, 2]"
TR2_3_HRC.bag,28.9861552715301,4,8,10.9998099803925,22.9999384880066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752738361.14402,1752738364.14412,3.00009918212891,0,0,0,0,0,0,1752738358.1442,1752738361.14402,2.99982500076294,1752738366.14434,1752738369.14444,3.00009679794312,1752738369.14444,1752738371.14422,1.9997889995575,1752738353.14415,1752738360.14412,6.99997806549072,1752738353.14415,1752738362.14415,2.00003170967102,1752738353.14415,1752738364.14412,1.99996900558472,1752738353.14415,1752738366.14434,2.00021409988403,1752738353.14415,1752738369.14444,3.00009703636169,1752738353.14415,1752738371.14422,1.9997889995575,0,0,0,1752738353.14415,1752738373.14424,2.00002026557922,1752738353.14415,1752738376.14408,2.99983930587769,0,0,0,0,0,0,0,0,0,"[2, 4, 2, 2, 2, 2, 1, 2, 2, 1, 3, 1]"
TR1_1_HRC_CS_90.bag,39.9670329093933,5,9,20.9998302459717,25.0007209777832,2,0,0,0,0,0,0,0,0,0,0,1753181750.74813,4.99989438056946,0,0,0,0,0,0,0,0,0,0,1753181756.74807,5.99993991851807,1753181730.74808,1753181734.74808,4.0000057220459,1753181727.74806,1753181730.74808,3.00001072883606,1753181734.74808,1753181737.74806,2.9999794960022,0,0,0,1753181717.74811,1753181724.74807,6.99996495246887,1753181717.74811,1753181727.74806,2.99999213218689,1753181717.74811,1753181729.74813,2.00006890296936,1753181717.74811,1753181731.74823,2.00010108947754,1753181717.74811,1753181734.74808,2.99984645843506,1753181717.74811,1753181736.74825,2.0001654624939,1753181717.74811,1753181738.74822,1.99996876716614,1753181717.74811,1753181740.74815,1.99993109703064,0,0,0,0,0,0,0,0,0,1753181717.74811,1753181742.74883,2.00068211555481,"[4, 2, 4, 3, 2, 4, 2, 3, 3, 3, 1, 2]"
TR2_1_HRC_CS_90.bag,32.9221510887146,4,8,23.0010795593262,22.0001127719879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753184392.57793,1753184405.57875,13.0008118152618,1753184379.57847,1753184382.57878,3.0003035068512,1753184383.57879,1753184387.57862,3.99983286857605,1753184387.57862,1753184390.57875,3.00013136863708,1753184374.57874,1753184381.57888,7.00013995170593,1753184374.57874,1753184383.57879,1.99990963935852,1753184374.57874,1753184385.57824,1.99944829940796,1753184374.57874,1753184387.57862,2.00038433074951,1753184374.57874,1753184390.57875,3.00013136863708,1753184374.57874,1753184392.57793,1.99918222427368,1753184374.57874,1753184394.57884,2.00090670585632,1753184374.57874,1753184396.57885,2.0000102519989,0,0,0,0,0,0,0,0,0,0,0,0,"[2, 4, 2, 2, 2, 2, 4, 2, 3, 1, 3, 1]"
TR1_2_HRC_CS_90.bag,40.9688699245453,6,9,24.0001046657562,27.0009512901306,3,0,0,0,0,1753184568.07614,5.00009417533875,0,0,0,0,1753184573.07709,5.00094890594482,0,0,0,1753184552.0772,1753184554.07629,1.99909806251526,1753184544.07623,1753184548.07715,4.00092101097107,0,1753184579.07614,5.99904441833496,0,0,0,0,0,0,1753184548.07715,1753184550.07714,1.99999809265137,0,0,0,1753184539.07615,1753184546.07708,7.00093293190002,1753184539.07615,1753184549.0771,3.00002217292786,1753184539.07615,1753184551.07618,1.99908018112183,1753184539.07615,1753184553.0771,2.00091338157654,1753184539.07615,1753184556.07602,2.99892544746399,0,0,0,0,0,0,1753184539.07615,1753184559.07724,3.00121688842773,1753184539.07615,1753184562.07604,2.99880719184875,1753184539.07615,1753184564.07623,2.00018095970154,0,0,0,1753184539.07615,1753184566.0771,2.00087213516235,"[4, 3, 4, 3, 2, 1, 3, 3, 2, 2, 1, 2]"
TR2_2_HRC_CS_90.bag,30.9529912471771,3,9,8.00011610984802,26.0001225471497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753184822.69183,1753184825.69177,2.99993562698364,0,0,0,1753184816.69177,1753184819.69183,3.0000536441803,1753184819.69183,1753184821.69195,2.00012683868408,0,0,0,0,0,0,1753184811.69171,1753184818.69175,7.00003814697266,1753184811.69171,1753184820.69189,2.00013899803162,1753184811.69171,1753184823.69177,2.99988293647766,1753184811.69171,1753184824.69177,0.999997854232788,1753184811.69171,1753184828.69181,4.00003528594971,1753184811.69171,1753184830.6918,1.99999523162842,0,0,0,1753184811.69171,1753184832.69182,2.00002193450928,0,0,0,0,0,0,1753184811.69171,1753184835.69146,2.99963116645813,1753184811.69171,1753184837.69184,2.0003809928894,"[2, 4, 2, 2, 2, 2, 1, 2, 3, 1, 2, 4]"
